#
# TAYLOR DOME st9810 TIMESCALE AND 
# Quaternary Isotope Laboratory 20-CM RESOLUTION DELTA 18-O DATA 
#
#  Data Description:
#
#  The delta 18O values were determined at the Quaternary Isotope Laboratory
#  (M. Stuiver, Box 351360, University of Washington, Seattle WA 98195, USA).
#  The time scale (st9810) is a combined timescale from geophysical
#  measurements, gas-correation with the GISP2 layer-counted 
#  chronology (central Greenland), and interpolation using gas and 
#  10-Be control points.  Details are given in Steig et al., 1999.
#
#  All of the data in this file are from samples bottled at the
#  University of New Hampshire.  Samples are "residue" from the UNH
#  automated melting system, used as a prep. system for ion 
#  chromatography measurements.  All ice was sampled at the National
#  Ice Core Laboratory.
# 
#  Reference:
#
#  Steig EJ, Hart CP, White JWC, Cunningham WL, Davis MD & Saltzman ES.
#  Changes in climate, ocean and ice sheet conditions in the Ross
#  Embayment at 6 ka. Annals of Glaciology 27, 305-310 (1998).   
#
#  Steig EJ, Morse DL, Waddington ED, Stuiver M, Grootes PM. Wisconsinan
#  and Holocene climate history from an ice core at Taylor Dome, western 
#  Ross Embayment, Antarctica. Geografiska Annaler 82A: 213-235 (2000).
#
# Depth	Age (ka)	del18O
# (top, m)	(st9810)	per mil
72.127	0.97	-41.57
72.259	0.9724	-41.03
72.391	0.9749	-39.27
72.523	0.9774	-39.74
72.654	0.9798	-40.43
72.785	0.9823	-40.56
72.916	0.9847	999999
73.047	0.9872	-41.09
73.178	0.9896	999999
73.309	0.9921	-39.78
73.44	0.9945	-39.85
73.57	0.997	-39.34
73.7	0.9994	-38.03
73.83	1.0018	999999
73.96	1.0043	-37.76
74.09	1.0067	-39.11
74.22	1.0091	-38.39
74.35	1.0116	-40.64
74.48	1.014	-42.12
74.61	1.0164	-40.48
74.74	1.0189	-37.87
74.87	1.0213	-37.9
75	1.0237	-39.46
75.258	1.0286	-40.16
75.387	1.031	-38.56
75.516	1.0334	999999
75.645	1.0359	-40.98
75.774	1.0384	-39.61
75.903	1.0408	-39.19
76.032	1.0433	-39.53
76.161	1.0458	-38.84
76.29	1.0483	-41.22
76.419	1.0508	-42.75
76.548	1.0532	-37.54
76.677	1.0557	-39.91
76.806	1.0582	-39.62
76.934	1.0607	-40.33
77.062	1.0631	-40.89
77.19	1.0656	-41.36
77.318	1.0681	-41.8
77.446	1.0705	-40.43
77.574	1.073	999999
77.702	1.0754	-40.63
77.83	1.0779	-38.77
77.958	1.0804	-38.24
78.086	1.0828	-39.77
78.213	1.0853	-39.7
78.34	1.0877	-38.53
78.467	1.0902	-38.55
78.594	1.0926	-39.48
78.721	1.095	-40.49
78.848	1.0975	-41.64
78.975	1.0999	-40.88
79.102	1.1024	999999
79.229	1.1048	-41.74
79.356	1.1073	-39.91
79.483	1.1097	-40.4
79.61	1.1121	-41.05
79.736	1.1146	-39.82
79.862	1.117	-41.04
79.988	1.1194	-40.22
80.114	1.1218	999999
80.24	1.1243	-39.6
80.366	1.1267	-39.45
80.492	1.1291	-38.97
80.618	1.1315	-38.79
80.744	1.134	-40.73
80.87	1.1364	-38.34
80.996	1.1388	-40.08
81.121	1.1413	-39.77
81.246	1.1437	-41.07
81.371	1.1462	-40.84
81.496	1.1487	-40.65
81.621	1.1511	-40.64
81.746	1.1536	-40.96
81.871	1.156	-40.05
81.996	1.1585	-39
82.121	1.161	-39.6
82.246	1.1634	-40.81
82.371	1.1659	-41.07
82.496	1.1684	-41.08
82.62	1.1708	-40.29
82.744	1.1733	-41.42
82.868	1.1757	999999
82.992	1.1781	-40.33
83.116	1.1806	-39.04
83.24	1.183	999999
83.488	1.1879	-42.35
83.612	1.1904	-41.45
83.736	1.1928	-39.89
83.86	1.1953	-37.46
83.984	1.1977	-36.25
84.108	1.2002	-36.37
84.232	1.2026	-37.22
84.355	1.205	-38.9
84.478	1.2074	-40.07
84.59	1.2097	-40.67
84.724	1.2123	-40.16
84.847	1.2147	-40.7
84.97	1.2171	-40.79
85.12	1.2201	-41.61
85.216	1.222	-40.75
85.339	1.2244	-40.4
85.462	1.2268	-43.2
85.585	1.2293	-43.17
85.708	1.2317	-41
85.831	1.2341	-40.86
85.954	1.2365	-39.32
86.077	1.239	-39.46
86.2	1.2414	-37.29
86.322	1.2438	999999
86.49	1.2471	-35.99
86.57	1.2487	-37.06
86.688	1.2511	-38.02
86.81	1.2536	-40.33
86.932	1.2561	-43.17
87.054	1.2585	-43.2
87.176	1.261	-39.43
87.298	1.2635	-39.77
87.42	1.266	-40.04
87.542	1.2685	-39.44
87.664	1.2709	-40.42
87.786	1.2734	-39.54
87.908	1.2759	-40.54
88.03	1.2784	-40.87
88.128	1.2804	-40.63
88.273	1.2833	-40.54
88.394	1.2858	-40.51
88.515	1.2882	-40.61
88.636	1.2907	-40.12
88.757	1.2932	-39.33
88.878	1.2956	-38.23
88.999	1.2981	-39.38
89.12	1.3005	-39.61
89.241	1.303	-38.87
89.362	1.3054	-37.71
89.483	1.3079	-38.7
89.604	1.3104	-39.64
89.725	1.3128	-39.7
89.846	1.3153	-40.26
89.967	1.3177	999999
90.12	1.3208	-41.91
90.209	1.3227	-41.19
90.329	1.3251	-38.83
90.449	1.3275	-38.7
90.569	1.33	-40.07
90.689	1.3324	-39.26
90.809	1.3348	-38.8
90.929	1.3373	-38.9
91.049	1.3397	-39.34
91.169	1.3422	-39.61
91.289	1.3446	-40.83
91.409	1.347	-40.01
91.529	1.3495	-38.98
91.649	1.3519	-39.2
91.75	1.354	-41.39
91.889	1.3568	-41.43
92.009	1.3592	-41.04
92.11	1.3613	-41.39
92.248	1.3642	-40.06
92.367	1.3666	-38.69
92.486	1.3691	-39.72
92.605	1.3716	-39.14
92.724	1.374	-38.89
92.843	1.3765	999999
92.962	1.379	-40.09
93.081	1.3814	-41.03
93.2	1.3839	-41.92
93.319	1.3864	-39.78
93.438	1.3888	-38.02
93.557	1.3913	-38.27
93.676	1.3938	-38.14
93.795	1.3962	-38.15
93.914	1.3987	-40.34
94.033	1.4012	-44.98
94.16	1.4038	-42.68
94.27	1.4061	-40.06
94.41	1.409	-39.23
94.506	1.411	-39.01
94.624	1.4134	999999
94.742	1.4159	-41.26
94.86	1.4183	-40.5
94.978	1.4208	-40.39
95.12	1.4237	-39.37
95.214	1.4256	-39.59
95.332	1.4281	-41.18
95.45	1.4305	-40.94
95.568	1.433	-39.59
95.686	1.4354	-38.47
95.8	1.4378	-39.25
95.922	1.4403	-40.75
96.04	1.4428	-41.36
96.158	1.4452	-40.15
96.276	1.4477	-39.74
96.394	1.4501	-39.67
96.512	1.4526	-38.92
96.63	1.455	-39.4
96.747	1.4574	-39.06
96.875	1.4601	-38.05
96.981	1.4623	-37.32
97.098	1.4647	-36.99
97.215	1.4671	-38.83
97.332	1.4696	-41.44
97.449	1.472	-41.4
97.566	1.4744	-40.09
97.683	1.4769	999999
97.8	1.4794	-40.52
97.9	1.4815	-40.04
98.034	1.4844	-39.83
98.151	1.4869	-39.66
98.268	1.4893	-38.77
98.385	1.4918	-37.97
98.502	1.4943	999999
98.59	1.4962	-39
98.736	1.4993	-38.73
98.853	1.5018	-39.95
98.97	1.5043	-39.58
99.08	1.5066	-39.31
99.204	1.5093	-37.77
99.321	1.5118	999999
99.438	1.5143	-39.69
99.555	1.5168	-40.2
99.672	1.5193	-39.68
99.788	1.5217	-37.59
99.904	1.5242	-38.14
100.02	1.5267	-39.23
100.12	1.5288	-41.54
100.23	1.5311	-41.01
100.37	1.5341	-40.18
100.48	1.5365	-40.6
100.62	1.5394	-38.88
100.72	1.5415	-39.29
100.83	1.544	-39.75
100.95	1.5464	-38.73
101.06	1.5489	-40.9
101.18	1.5514	-41.81
101.3	1.5538	-41.74
101.41	1.5563	-43.85
101.53	1.5588	-41.07
101.64	1.5613	-40.69
101.76	1.5637	-40.25
101.88	1.5662	-39.64
102	1.5689	-40
102.11	1.5711	-39.65
102.22	1.5735	-37.86
102.34	1.576	-38.25
102.45	1.5784	-39.92
102.57	1.5809	-38.38
102.68	1.5833	-40.17
102.8	1.5858	-40.65
102.91	1.5882	-40.16
103.03	1.5907	-40.7
103.12	1.5927	-39.98
103.26	1.5956	-40.8
103.37	1.5981	-39.29
103.49	1.6006	999999
103.6	1.6031	-39.1
103.72	1.6055	-39.37
103.95	1.6105	-41.36
104.06	1.613	-40.22
104.18	1.6155	-43.28
104.29	1.6179	-43.04
104.41	1.6204	-40.37
104.52	1.6229	-39.6
104.64	1.6254	-39.42
104.75	1.6279	-38.9
104.86	1.6303	-40.13
104.98	1.6328	-40.48
105.12	1.6358	999999
105.21	1.6377	-39.49
105.32	1.6401	-40.71
105.43	1.6426	-40.93
105.55	1.6451	-40.18
105.66	1.6475	-40.44
105.78	1.65	-40.68
105.89	1.6524	-39.2
106	1.6549	-39.47
106.12	1.6574	999999
106.23	1.6598	-39.78
106.37	1.6628	999999
106.57	1.6672	-39.18
106.69	1.6696	-39.04
106.8	1.6721	-39.83
106.92	1.6745	-39.83
107.03	1.677	-41.31
107.12	1.6789	-42.62
107.26	1.6819	-39.54
107.37	1.6844	-39.88
107.49	1.6868	-41.11
107.6	1.6893	-41.27
107.71	1.6917	-41.22
107.83	1.6942	-41.5
107.94	1.6967	-40.1
108.06	1.6991	-40.62
108.17	1.7016	-42.22
108.28	1.704	999999
108.4	1.7064	-41.53
108.51	1.7089	-40.52
108.62	1.7113	-42.05
108.74	1.7138	-42.44
108.85	1.7163	-40.64
108.96	1.7188	-38.63
109.07	1.7213	-40.63
109.19	1.7238	-41.41
109.28	1.7259	-40.03
109.41	1.7288	-39.12
109.53	1.7313	999999
109.64	1.7339	-40.96
109.75	1.7364	-40.99
109.87	1.7389	-39.89
109.98	1.7414	-40.09
110.12	1.7445	-39.89
110.21	1.7466	999999
110.32	1.7489	-40.66
110.43	1.7514	-38.03
110.54	1.7539	999999
110.66	1.7564	-38.49
110.77	1.7589	-40.2
110.88	1.7614	-41.31
111	1.7639	-41.49
111.12	1.7667	-39.96
111.22	1.7689	999999
111.33	1.7714	-41.57
111.44	1.7739	-41.72
111.56	1.7763	-40.28
111.67	1.7788	-39.92
111.78	1.7813	-38.31
111.89	1.7838	-38.71
111.99	1.7859	-40.51
112.12	1.7888	-41.46
112.23	1.7912	-41.56
112.34	1.7937	-40.08
112.45	1.7962	999999
112.56	1.7987	-39.79
112.68	1.8012	-40.39
112.79	1.8037	-41.02
112.9	1.8061	-39.84
113.01	1.8086	-39.47
113.12	1.811	-38.59
113.24	1.8136	-38.51
113.35	1.8161	999999
113.46	1.8186	-41.3
113.57	1.821	999999
113.68	1.8235	-42.61
113.8	1.826	-40.73
113.91	1.8285	-39.61
114.02	1.831	-39.83
114.12	1.8332	-39.73
114.24	1.836	999999
114.36	1.8385	-39.66
114.47	1.841	-39.93
114.58	1.8435	-39.91
114.69	1.8461	-40.12
114.8	1.8486	-41.1
114.92	1.8511	-40.42
115.03	1.8536	-39.67
115.12	1.8557	-40.38
115.21	1.8579	-41.37
115.36	1.8611	999999
115.47	1.8636	-40.51
115.58	1.8661	-38.76
115.69	1.8686	-38.56
115.8	1.8711	-38.73
115.92	1.8736	-39.24
116.03	1.8761	-39.7
116.12	1.8782	-39.87
116.25	1.8811	-41.8
116.36	1.8836	999999
116.47	1.8861	-42.54
116.58	1.8886	-39.06
116.69	1.8911	-37.57
116.8	1.8936	-38.35
116.91	1.8961	-39.94
117.03	1.8986	-41.44
117.12	1.9008	-41.13
117.25	1.9036	999999
117.36	1.9061	-40.99
117.47	1.9086	-40.46
117.58	1.9111	-39.04
117.69	1.9136	-37.06
117.8	1.9161	-36.55
117.91	1.9186	-37.25
118.02	1.9212	-39.8
118.12	1.9233	-41.19
118.25	1.9262	-39.11
118.36	1.9287	-40.61
118.47	1.9312	-41.3
118.58	1.9337	-41.12
118.69	1.9362	-41.27
118.8	1.9387	-40.09
118.91	1.9412	-38.68
119.02	1.9437	-40.33
119.12	1.9458	-39.99
119.25	1.9487	-39.1
119.36	1.9512	-39.51
119.49	1.9542	-38.79
119.58	1.9561	-38.89
119.69	1.9586	-39.05
119.8	1.9611	-38.26
119.91	1.9636	-38.43
120.02	1.9662	-40.5
120.12	1.9685	-39.53
120.21	1.9707	999999
120.35	1.9737	-40.06
120.46	1.9762	-39.61
120.57	1.9787	-41.37
120.68	1.9813	-40.28
120.79	1.9838	-38.81
120.9	1.9863	-38.86
121.01	1.9888	-39.09
121.12	1.9914	-39.14
121.23	1.9938	-40.69
121.34	1.9964	-40.66
121.45	1.9989	-40.14
121.56	2.0014	-39.32
121.67	2.0039	-38.66
121.76	2.0061	-39.84
121.89	2.009	-37.47
122	2.0115	-38.49
122.12	2.0143	-38.46
122.22	2.0165	-39.43
122.33	2.019	-38.39
122.44	2.0215	-39.61
122.55	2.0241	999999
122.66	2.0266	-40.37
122.77	2.0291	-41.64
122.88	2.0316	-41.57
122.99	2.0341	-38.76
123.12	2.0372	-39.53
123.21	2.0392	-42.21
123.32	2.0417	-42.18
123.44	2.0445	-41.52
123.54	2.0467	-40.43
123.65	2.0492	-40.76
123.79	2.0525	-41.69
123.87	2.0543	-41.46
123.98	2.0568	-40.29
124.09	2.0593	-39.64
124.2	2.0618	-38.09
124.31	2.0643	-36.59
124.42	2.0669	-39.23
124.53	2.0694	-40.67
124.64	2.0719	-41.95
124.75	2.0744	-42.49
124.86	2.0769	-43.31
124.97	2.0794	-41.44
125.08	2.082	999999
125.22	2.0853	-38.77
125.3	2.0871	-39.71
125.41	2.0897	-40.94
125.51	2.0922	-39.44
125.62	2.0948	-39.77
125.73	2.0974	-39.93
125.84	2.1	-40.69
125.95	2.1025	-39.37
126.06	2.1051	999999
126.17	2.1077	-39.73
126.28	2.1103	-38.29
126.39	2.1128	-39.38
126.5	2.1154	-42.17
126.61	2.118	-40.95
126.71	2.1206	999999
126.82	2.1232	-40.45
126.93	2.1257	-40.09
127.04	2.1283	-39.26
127.12	2.1302	-40.43
127.26	2.1334	-38.11
127.36	2.136	999999
127.47	2.1385	-40.37
127.58	2.1411	999999
127.69	2.1436	-43.66
127.8	2.1462	-41.2
127.9	2.1487	999999
128.04	2.1518	-36.83
128.12	2.1538	-37.92
128.23	2.1564	999999
128.34	2.1589	-39.78
128.45	2.1615	-39.3
128.55	2.1641	999999
128.66	2.1666	-40.85
128.77	2.1692	999999
128.99	2.1743	-41.32
129.12	2.1775	999999
129.2	2.1794	-37.65
129.31	2.1819	999999
129.42	2.1845	-38.19
129.52	2.187	-38.86
129.63	2.1896	999999
129.72	2.1916	-40.45
129.85	2.1947	999999
129.96	2.1972	-39.04
130.07	2.1998	999999
130.28	2.2049	-39.05
130.39	2.2075	-40.09
130.5	2.21	999999
130.6	2.2126	-39.92
130.71	2.2151	-40.29
130.82	2.2177	999999
130.93	2.2203	-41.19
131.04	2.2228	-40.7
131.12	2.2249	-38.87
131.25	2.228	-39.65
131.36	2.2305	-39.55
131.46	2.2331	-40.05
131.57	2.2357	-39.26
131.68	2.2382	-38.84
131.79	2.2408	999999
132.21	2.251	-39.18
132.32	2.2536	-40.88
132.43	2.2562	-42.11
132.53	2.2587	-42.13
132.64	2.2613	-40.22
132.75	2.2639	-41.33
132.85	2.2664	-40.15
132.96	2.269	-41.4
133.07	2.2715	-40.49
133.18	2.2741	-39.59
133.28	2.2767	-39.22
133.39	2.2792	-40.11
133.5	2.2818	999999
133.6	2.2844	-41
133.71	2.2869	999999
133.82	2.2895	-41.05
133.93	2.2921	-39.26
134.03	2.2946	999999
134.12	2.2967	-39.77
134.35	2.3023	-41.9
134.46	2.3048	-39.4
134.55	2.307	-39.51
134.67	2.3099	999999
134.78	2.3124	-39.79
134.99	2.3175	-40.83
135.12	2.3207	-42.27
135.22	2.323	-42.19
135.31	2.3251	999999
135.41	2.3277	-41.02
135.52	2.3302	-40.51
135.62	2.3328	999999
